status,method,filepath,class_name
survived,"def test_multiple_keyword_only_removed():
    old_code = ""def func(*, a, b, c): pass""
    new_code = ""def func(*, b): pass""

    old_tree = ast.parse(old_code)
    new_tree = ast.parse(new_code)
    errors = check_signature_compatibility(old_tree.body[0], new_tree.body[0])

    assert len(errors) == 2
    error_messages = {e.message for e in errors}
    assert ""Keyword-only param 'a' was removed."" in error_messages
    assert ""Keyword-only param 'c' was removed."" in error_messages
",tests/dev/test_check_function_signatures.py,
survived,"def test_optional_positional_became_required():
    old_code = ""def func(a, b=1): pass""
    new_code = ""def func(a, b): pass""

    old_tree = ast.parse(old_code)
    new_tree = ast.parse(new_code)
    errors = check_signature_compatibility(old_tree.body[0], new_tree.body[0])

    assert len(errors) == 1
    assert errors[0].message == ""Optional positional param 'b' became required.""
    assert errors[0].param_name == ""b""
",tests/dev/test_check_function_signatures.py,
survived,"def get_value():
    global raw_tensor_data, precomputed_c_values, current_fullscreen_op
    print(current_fullscreen_op)
    data = request.json
    uuid = data.get(""uuid"")
    matrix_name = data.get(""matrixName"")
    row = data.get(""row"")
    col = data.get(""col"")

    if uuid not in raw_tensor_data:
        return jsonify({""error"": ""Operation not found""}), 404

    op_data = raw_tensor_data[uuid]

    if matrix_name == ""A"":
        value = (
            op_data[""input_data""][row, col].item() if ""input_data"" in op_data else None
        )
        return jsonify({""value"": value})
    elif matrix_name == ""B"":
        value = (
            op_data[""other_data""][row, col].item() if ""other_data"" in op_data else None
        )
        return jsonify({""value"": value})
    elif matrix_name == ""C"":
        current_step = data.get(""currentStep"", 0)

        if uuid not in precomputed_c_values:
            return jsonify({""error"": ""Precomputed values not found""}), 404

        precomputed = precomputed_c_values[uuid]
        current_value = precomputed[(row, col)][current_step]

        return jsonify(
            {
                ""value"": current_value,
            }
        )
    else:
        return jsonify({""error"": ""Invalid matrix name""}), 400
",triton_viz/visualizer/interface.py,
survived,"def update_data():
    update_global_data()
    return jsonify({""status"": ""Data updated successfully""})
",triton_viz/visualizer/interface.py,
survived,"    def test_comparison_with_numpy(self, func):
        """"""Compare with numpy's implementation for data without NaNs.""""""
        np.random.seed(42)
        data = np.random.randn(5, 100)

        result = func(data)
        if func == nancorrmatrix:
            expected = np.corrcoef(data)
        else:
            expected = np.cov(data)

        assert_allclose(result, expected, rtol=1e-10)
",numbagg/test/test_matrix_functions.py,TestMatrixFunctions
survived,"    def test_exponential_decay_property(self):
        """"""Test that older observations have less influence (exponential decay).""""""
        # Create a dataset where values change over time
        np.random.seed(42)  # For reproducibility
        early_data = np.random.randn(2, 20)
        late_data = np.random.randn(2, 20) + 10  # Different mean
        data = np.concatenate([early_data, late_data], axis=1)

        # With high alpha, recent values should dominate more than low alpha
        result_high = move_exp_nancovmatrix(data, alpha=0.9)
        result_low = move_exp_nancovmatrix(data, alpha=0.1)

        # The final covariance matrices should be different
        # (high alpha should weight recent data more)
        final_cov_high = result_high[-1]
        final_cov_low = result_low[-1]

        # Results should be different due to different weighting
        assert not np.allclose(final_cov_high, final_cov_low, rtol=1e-3)
",numbagg/test/test_move_exp_matrix.py,TestMoveExpMatrixFunctions
survived,"    def _determine_category(self, path: Path) -> str:
        """"""Determine model category""""""
        path_str = str(path).lower()
        
        categories = {
            'llm': ['llm', 'language', 'text', 'chat'],
            'vision': ['vision', 'image', 'visual', 'cv'],
            'audio': ['audio', 'speech', 'voice', 'sound'],
            'multimodal': ['multimodal', 'multi-modal'],
            'embedding': ['embedding', 'embed', 'vector']
        }
        
        for category, keywords in categories.items():
            if any(keyword in path_str for keyword in keywords):
                return category
        
        return 'general'
",src/haconiwa/scan/analyzer.py,ModelAnalyzer
survived,"    def _compare_performance(self, model_data: Dict[str, Dict[str, Any]]) -> Dict[str, Any]:
        """"""Compare model performance metrics""""""
        performance = {}
        
        for model, data in model_data.items():
            model_perf = {
                'inference_speed': 'Unknown',
                'memory_usage': 'Unknown',
                'accuracy': 'Unknown',
                'benchmark_scores': {}
            }
            
            # Try to find performance data in config or metadata
            if data.get('config'):
                config = data['config']
                
                # Look for benchmark scores
                benchmark_keys = ['benchmark', 'evaluation', 'scores', 'metrics']
                for key in benchmark_keys:
                    if key in config:
                        model_perf['benchmark_scores'] = config[key]
                        break
            
            # Estimate based on model size
            if data.get('size', 0) > 0:
                size_gb = data['size'] / (1024 ** 3)
                if size_gb < 1:
                    model_perf['inference_speed'] = 'Fast'
                elif size_gb < 10:
                    model_perf['inference_speed'] = 'Medium'
                else:
                    model_perf['inference_speed'] = 'Slow'
            
            performance[model] = model_perf
        
        return performance
",src/haconiwa/scan/comparator.py,ModelComparator
survived,"    def test_search_by_model_name(self, temp_model_dir):
        """"""Test searching for models by name""""""
        scanner = ModelScanner(temp_model_dir)
        
        # Test with exact name
        results = scanner.search_by_model_name(""gpt-4"")
        assert results['model_name'] == ""gpt-4""
        assert results['total_files'] > 0
        assert len(results['categories']) > 0
        
        # Test with prefix stripping
        results = scanner.search_by_model_name(""claude-3-opus"")
        assert results['normalized_name'] == ""3-opus""  # ""claude-"" prefix stripped
        assert results['total_files'] > 0
",tests/test_scan/test_scanner.py,TestModelScanner
survived,"    def _compare_use_cases(self, model_data: Dict[str, Dict[str, Any]]) -> Dict[str, Any]:
        """"""Compare model use cases""""""
        use_cases = {}
        
        use_case_patterns = {
            'chatbot': ['chat', 'conversation', 'dialogue'],
            'content_generation': ['generate', 'create', 'write'],
            'code_assistance': ['code', 'programming', 'development'],
            'translation': ['translate', 'multilingual'],
            'analysis': ['analyze', 'analysis', 'insight'],
            'summarization': ['summary', 'summarize'],
            'question_answering': ['qa', 'question', 'answer'],
            'research': ['research', 'academic', 'scientific']
        }
        
        for model, data in model_data.items():
            model_use_cases = set()
            
            # Check all text content for use case patterns
            all_text = []
            if data.get('config'):
                all_text.append(json.dumps(data['config']))
            
            for file_info in data.get('files', []):
                all_text.append(file_info['path'])
            
            combined_text = ' '.join(all_text).lower()
            
            for use_case, patterns in use_case_patterns.items():
                if any(pattern in combined_text for pattern in patterns):
                    model_use_cases.add(use_case)
            
            use_cases[model] = list(model_use_cases)
        
        return use_cases
",src/haconiwa/scan/comparator.py,ModelComparator
survived,"    def __init__(self, base_path: Path):
        self.base_path = Path(base_path)
        
        # Guide templates
        self.templates = {
            'development': self._generate_development_guide,
            'usage': self._generate_usage_guide,
            'integration': self._generate_integration_guide,
            'quickstart': self._generate_quickstart_guide
        }
",src/haconiwa/scan/guide_generator.py,GuideGenerator
survived,"    def __init__(self, base_path: Path):
        self.base_path = Path(base_path)
        
        # Common model configuration files
        self.config_files = [
            'config.json', 'model_config.json', 'configuration.json',
            'config.yaml', 'config.yml', 'metadata.json',
            'model_card.md', 'README.md'
        ]
        
        # Model file extensions
        self.model_extensions = {
            '.pt': 'PyTorch',
            '.pth': 'PyTorch',
            '.onnx': 'ONNX',
            '.pb': 'TensorFlow',
            '.h5': 'Keras/TensorFlow',
            '.tflite': 'TensorFlow Lite',
            '.mlmodel': 'Core ML',
            '.bin': 'Binary',
            '.safetensors': 'SafeTensors',
            '.gguf': 'GGUF (llama.cpp)',
            '.ggml': 'GGML'
        }
",src/haconiwa/scan/analyzer.py,ModelAnalyzer
survived,"    def test_generate_from_scan_results_with_matches(self):
        """"""Test generation from scan results with matches""""""
        scan_results = {
            'model_name': 'gpt-4',
            'matches': {
                'model': [
                    {'path': 'models/gpt4/model.py', 'type': 'python'},
                    {'path': 'models/gpt4/config.py', 'type': 'python'}
                ],
                'api': [
                    {'path': 'api/gpt4_api.py', 'type': 'python'}
                ]
            }
        }
        
        config = self.generator.generate_from_scan_results(
            scan_results,
            action='add_tests',
            max_files=2
        )
        
        assert config['provider'] == 'claude'
        assert len(config['tasks']) == 2
        assert config['metadata']['action'] == 'add_tests'
        assert config['options']['max_concurrent'] == 1  # min(5, max(1, 2//2))
        
        # Check that appropriate prompts were generated
        for task in config['tasks']:
            assert 'file' in task
            assert 'prompt' in task
            assert len(task['prompt']) > 0
",tests/test_scan/test_generate_parallel.py,TestParallelYAMLGenerator
survived,"    def save_yaml(self, config: Dict[str, Any], output_path: Path) -> Path:
        """"""Save configuration to YAML file""""""
        
        output_path = Path(output_path)
        output_path.parent.mkdir(parents=True, exist_ok=True)
        
        with open(output_path, 'w', encoding='utf-8') as f:
            yaml.dump(config, f, default_flow_style=False, sort_keys=False, allow_unicode=True)
        
        return output_path
",src/haconiwa/scan/generate_parallel.py,ParallelYAMLGenerator
survived,"    def _get_context(self, lines: List[str], index: int, context_lines: int) -> List[str]:
        """"""Get context lines around a match""""""
        start = max(0, index - context_lines)
        end = min(len(lines), index + context_lines + 1)
        return lines[start:end]
",src/haconiwa/scan/scanner.py,ModelScanner
survived,"def list_models(
    path: Optional[Path] = typer.Option(None, ""--path"", ""-p"", help=""Base path to search in""),
    category: Optional[str] = typer.Option(None, ""--category"", help=""Filter by category""),
    provider: Optional[str] = typer.Option(None, ""--provider"", help=""Filter by provider""),
    output_format: str = typer.Option(""table"", ""--format"", ""-f"", help=""Output format"")
):
    """"""List all available AI models""""""
    scanner = ModelScanner(base_path=path or Path.cwd())
    
    models = scanner.list_all_models(
        category=category,
        provider=provider
    )
    
    formatter = OutputFormatter()
    output = formatter.format_model_list(models, output_format)
    typer.echo(output)
",src/haconiwa/scan/cli.py,
survived,"    def test_scan_analyze_with_category(self, runner, temp_model_dir):
        """"""Test analyze with specific category""""""
        result = runner.invoke(
            scan_app,
            [""analyze"", ""--path"", str(temp_model_dir), ""--category"", ""general"", ""--format"", ""json""]
        )
        
        assert result.exit_code == 0
        output = json.loads(result.stdout)
        assert output['category'] == 'general'
",tests/test_scan/test_cli.py,TestScanCLI
survived,"    def test_scan_analyze_command(self, runner, temp_model_dir):
        """"""Test the scan analyze command""""""
        result = runner.invoke(
            scan_app,
            [""analyze"", ""--path"", str(temp_model_dir), ""--format"", ""summary""]
        )
        
        assert result.exit_code == 0
        assert ""Model Analysis Summary"" in result.stdout
",tests/test_scan/test_cli.py,TestScanCLI
survived,"    def _categorize_size(self, size_gb: float) -> str:
        """"""Categorize model size""""""
        if size_gb < 0.1:
            return 'Tiny'
        elif size_gb < 1:
            return 'Small'
        elif size_gb < 10:
            return 'Medium'
        elif size_gb < 50:
            return 'Large'
        else:
            return 'Very Large'
",src/haconiwa/scan/comparator.py,ModelComparator
survived,"    def _extract_provider(self, path: Path) -> str:
        """"""Extract provider from path or config""""""
        providers = {
            'openai': ['openai', 'gpt'],
            'anthropic': ['anthropic', 'claude'],
            'meta': ['meta', 'llama'],
            'google': ['google', 'gemini', 'palm'],
            'mistral': ['mistral'],
            'huggingface': ['huggingface', 'hf']
        }
        
        path_str = str(path).lower()
        
        for provider, keywords in providers.items():
            if any(keyword in path_str for keyword in keywords):
                return provider
        
        return 'unknown'
",src/haconiwa/scan/analyzer.py,ModelAnalyzer
survived,"    def test_scan_generate_parallel_config_example(self, runner):
        """"""Test generate-parallel-config with example option""""""
        with tempfile.TemporaryDirectory() as tmpdir:
            output_path = Path(tmpdir) / ""test-parallel.yaml""
            
            result = runner.invoke(
                scan_app,
                [""generate-parallel-config"", ""--example"", ""--output"", str(output_path)]
            )
            
            assert result.exit_code == 0
            assert ""Generated example parallel-dev.yaml"" in result.stdout
            assert output_path.exists()
            
            # Check generated YAML content
            import yaml
            with open(output_path, 'r') as f:
                config = yaml.safe_load(f)
            
            assert config['provider'] == 'claude'
            assert len(config['tasks']) == 5
            assert config['options']['max_concurrent'] == 3
",tests/test_scan/test_cli.py,TestScanCLI
